epoch,acc,loss,lr,val_acc,val_loss
0,0.13870000064373017,7.392989435195923,0.001,0.11928874221939666,19.06678483040334
1,0.15160000026226045,6.809330463409424,0.001,0.1344795101798204,18.48340555299749
2,0.16259999945759773,6.450324544906616,0.001,0.1344795101798204,18.109753865202922
3,0.1667000013589859,6.062945308685303,0.001,0.12034856311159206,16.51750312837519
4,0.16790000066161156,5.6918111038208,0.001,0.12034856311159206,17.610389572912602
5,0.17710000023245812,5.34990647315979,0.001,0.12034856311159206,17.284391515500918
6,0.17820000022649765,5.042850561141968,0.001,0.12034856311159206,16.989881023168003
7,0.16739999994635582,4.766823091506958,0.001,0.1344795101798204,16.49947242718848
8,0.16850000113248825,4.515085096359253,0.001,0.11928874221939666,16.510110885648867
9,0.1797000002861023,4.284220781326294,0.001,0.13259538403109902,15.85791822766786
10,0.1811999997496605,4.0810764074325565,0.001,0.13259538403109902,15.904210462583666
11,0.18639999896287918,3.9063244915008544,0.001,0.11893546811488795,15.961374983605607
12,0.18869999960064887,3.754409327507019,0.001,0.12034856311159206,15.793798019905108
13,0.1753999997675419,3.65998752117157,0.001,0.12034856311159206,15.680541228529309
14,0.14329999998211862,3.568898377418518,0.001,0.1344795101798204,15.338603829192037
15,0.15740000039339067,3.4408177852630617,0.001,0.13259538403109902,15.264916230415995
16,0.16410000190138818,3.330914144515991,0.001,0.13259538403109902,15.172325898384745
17,0.17349999979138375,3.253251953125,0.001,0.1344795101798204,15.059004639433736
18,0.15410000056028367,3.219638857841492,0.001,0.12918040456072205,15.080376162374014
19,0.1604000000655651,3.117327919006348,0.001,0.12034856311159206,15.160438413166291
20,0.16430000007152556,3.0983339595794677,0.001,0.11893546811488795,15.135151420176394
21,0.15580000072717667,3.0467249584197997,0.001,0.11928874221939666,15.078150720906269
22,0.1647000005841255,2.984130554199219,0.001,0.12918040456072205,14.871782199537984
23,0.16850000023841857,2.946172194480896,0.001,0.1250588784956786,14.892858025042784
24,0.16760000079870224,2.922748537063599,0.001,0.11928874221939666,14.959650011372577
25,0.16970000088214873,2.844444408416748,0.001,0.13259538403109902,14.699940491890604
26,0.15780000105500222,2.8859110498428344,0.001,0.13259538403109902,14.765392113899882
27,0.14890000075101853,2.9320972871780397,0.001,0.13259538403109902,14.743726540779765
28,0.16460000097751618,2.852013168334961,0.001,0.13259538403109902,14.693528939461405
29,0.15650000169873238,2.80210684299469,0.001,0.12918040456072205,14.705066218221182
30,0.1656000003218651,2.758923063278198,0.001,0.12034856311159206,14.813499326252229
31,0.17110000044107437,2.7463446140289305,0.001,0.1344795101798204,14.555887078093404
32,0.15059999987483025,2.7750932693481447,0.001,0.11893546811488795,14.8771901245225
33,0.15169999927282332,2.7704051113128663,0.001,0.1344795101798204,14.579141472624654
34,0.1634000012278557,2.737333445549011,0.001,0.1344795101798204,14.540536736296529

This one was from data augmentation on 10000 samples, resnet50
