epoch,acc,loss,lr,val_acc,val_loss
0,0.14900000035762787,12.403421936035157,0.001,0.13200659453307353,14.337160475232722
1,0.1731000003218651,10.944693508148193,0.001,0.17381064696970044,10.332734599856908
2,0.19529999941587448,9.632464542388917,0.001,0.1775788986564974,9.011637978771638
3,0.2022999992966652,8.408095169067384,0.001,0.17769665592510184,7.869653587008893
4,0.20500000029802323,7.400773792266846,0.001,0.16533207830903218,6.967179702016693
5,0.2004999989271164,6.5402864074707034,0.001,0.14861045743054058,8.378684658404515
6,0.1877000007033348,5.862285518646241,0.001,0.11705134235571647,16.174025462362152
7,0.19689999967813493,5.311165628433227,0.001,0.15532265757256614,5.526109123364743
8,0.17459999933838843,4.9276456451416015,0.001,0.13412623665437234,6.898929359887043
9,0.16889999955892562,4.584815530776978,0.001,0.13954310047559113,5.81325332499651
10,0.17149999961256981,4.312964992523193,0.001,0.14684408905227622,4.76007797085784
11,0.16080000013113022,4.137473859786987,0.001,0.13271314148570476,4.1242180472547805
12,0.17649999976158143,3.922931628227234,0.001,0.15367404706653312,3.830143948630011
13,0.16570000007748603,3.803606700897217,0.001,0.1550871417508954,5.311682860805243
14,0.16890000000596048,3.6622699069976807,0.001,0.14013188771001583,6.534869112723625
15,0.16700000032782555,3.520070972442627,0.001,0.156735752674554,3.450907077757862
16,0.177600000500679,3.3965139770507813,0.001,0.15697126726089533,3.3341558989184787
17,0.18230000048875808,3.297262110710144,0.001,0.12988695254513413,5.694311988729943
18,0.18310000002384186,3.2529468393325804,0.001,0.15226095211545196,3.939460058791762
19,0.18369999915361404,3.1522441005706785,0.001,0.16544983669715393,3.1228221844121977
20,0.1799000009894371,3.1494261693954466,0.001,0.14731511984632872,3.5610512817911086
21,0.18240000039339066,3.118068881034851,0.001,0.13165332084969986,3.476656894890475
22,0.18870000004768372,3.0252687692642213,0.001,0.16203485704779458,3.0204643117219168
23,0.1894000017642975,2.970788235664368,0.001,0.15414507847825032,2.9978371305506126
24,0.1654000000655651,3.097061858177185,0.001,0.13377296347636072,14.59711229177898
25,0.1706000006198883,3.1337747812271117,0.001,0.13530381638390018,3.4032299545537845
26,0.185900000333786,3.0247900390625,0.001,0.16203485717764454,3.044316282937171
27,0.1899999988079071,2.9508757638931273,0.001,0.16933584616142683,2.966966320195964
28,0.1878000009059906,2.899685683250427,0.001,0.12929816385077464,9.302683494700837
29,0.17330000117421152,2.910214228630066,0.001,0.15638247815943865,3.6255060887482724
30,0.1757000008225441,2.908429408073425,0.001,0.1668629316973675,3.0349661471761737
31,0.17980000123381615,2.8412025451660154,0.001,0.16968911907622908,2.7765907741525067
32,0.1866999998688698,2.783716607093811,0.001,0.1610927927889916,2.7412157337226453
33,0.16930000126361847,2.8035593891143797,0.001,0.1415449849913775,4.017098764400689
34,0.16690000042319297,2.7711787176132203,0.001,0.15814884703253668,3.8039137570295365
35,0.18629999965429306,2.693175263404846,0.001,0.16650965696115624,2.6409157657758056
36,0.180100000500679,2.713843812942505,0.001,0.13754121533863062,2.813093759291474
37,0.16020000010728835,2.81145236492157,0.001,0.14213377219772652,2.7834708779362423
38,0.16980000004172324,2.731504507064819,0.001,0.15897315217675997,2.673866610340616
39,0.1736999997496605,2.686727647781372,0.001,0.17004239441255775,3.270736090035243
40,0.18270000010728837,2.627796320915222,0.001,0.1610927939330751,2.605582713968508
41,0.19350000113248825,2.5788996267318725,0.001,0.16839378253783588,2.540457275303478
42,0.19139999955892562,2.561461081504822,0.001,0.17110221332190906,2.5297607947676126
43,0.17649999961256982,2.7613977861404417,0.001,0.11928874221939666,15.171298883234169
44,0.15810000151395798,3.13594913482666,0.001,0.13188883678367325,5.392885817484197
45,0.1633000011742115,2.998961730003357,0.001,0.14284031991015556,2.9491208821492996
46,0.15500000044703482,2.952490644454956,0.001,0.14095619395269968,9.100332475752973
47,0.16300000086426736,2.8242717599868774,0.001,0.15167216260338862,2.982520064710167
48,0.1695000010728836,2.7356648111343382,0.0003162278,0.15296749982612626,2.7241765520677106
49,0.17770000129938127,2.696227164268494,0.0003162278,0.1553226578041904,2.697476699674573
50,0.17650000020861625,2.668721413612366,0.0003162278,0.1439001416674325,2.6695512037371554
51,0.17959999948740005,2.6414245843887327,0.0003162278,0.15967969972599916,2.644672901519222
52,0.18129999995231627,2.6152898931503294,0.0003162278,0.15779557188571874,2.630690085567846
