epoch,acc,loss,lr,val_acc,val_loss
0,0.18154788169754435,2.578519309874984,0.001,0.18546867783668744,2.439759334751979
1,0.20658541502108996,2.3252786607267004,0.001,0.1683937836538437,2.487232884650965
2,0.21852276975746246,2.213642242585154,0.001,0.19536033884792803,2.229649647529879
3,0.22703052608434948,2.1492982106036282,0.001,0.19724446539321824,2.2454740786631042
4,0.2358032315166702,2.1084305633665195,0.001,0.21502590581627315,2.14233398100592
5,0.24638640968274733,2.0781517845014443,0.001,0.20854922328925166,2.141568484757792
6,0.25602755300318364,2.0532284271531425,0.001,0.19724446579329652,2.2521842261614013
7,0.2661544337906855,2.0337364618026315,0.001,0.20678285212096773,2.158027409608781
8,0.28286084277344403,2.0118385904295515,0.001,0.211022136988249,2.2111100310488685
9,0.30237863863875075,1.9796854906919625,0.001,0.2184408843390963,2.1997795353169383
10,0.3268421207387368,1.9401504104869964,0.001,0.20560527529376216,2.2654331104406142
11,0.4387382604496512,1.6863670971399973,0.0003162278,0.2101978328968633,2.365709290434828
12,0.5177367593904566,1.4848040367808852,0.0003162278,0.211375412257898,2.5839502492492286
13,0.6054490860155148,1.2689647972048594,0.0003162278,0.200541685499844,2.9163269696794925
14,0.690791604264041,1.042381338924525,0.0003162278,0.20584079118562204,3.4453495047421483

This was done on the entire dataset with no data augmentation. Resnet18.
